idx,prompt,reference,lstm_generated,lora_generated
40,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2),","np.int64(416), np.int64(59), np.int64(7415), np.int64(631), np.int64(266), np.int64(1104)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int"
41,"[np.int64(0), np.int64(0), np.int64(2), np.int64(1978), np.int64(59), np.int64(507), np.int64(9840), np.int64(1960), np.int64(48), np.int64(22), np.int64(428), np.int64(174), np.int64(758), np.int64(6), np.int64(30), np.int64(167), np.int64(909), np.int64(2093),","np.int64(135), np.int64(59), np.int64(336), np.int64(3194), np.int64(6), np.int64(61)]",,"[np.int64(0), np.int64(0), np.int64(2), np.int64(1978), np.int64(59), np.int64(507), np.int64(9840), np.int64(1960), np.int64(48), np.int64(22), np.int64(428), np.int64(174), np.int64(758), np.int64(6), np.int64(30), np.int64(167), np.int64(909), np.int64(2093), np.int64(18), np.int64(1), np.int64(17), np.int64(12), np.int64(11), np.int64(7), np"
42,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(61), np.int64(576), np.int64(91), np.int64(50), np.int64(7642), np.int64(256), np.int64(8), np.int64(411), np.int64(9859), np.int64(2904), np.int64(65),","np.int64(326), np.int64(127), np.int64(1537), np.int64(65), np.int64(74), np.int64(1063)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(61), np.int64(576), np.int64(91), np.int64(50), np.int64(7642), np.int64(256), np.int64(8), np.int64(411), np.int64(9859), np.int64(2904), np.int64(65), np.int64(1), np.int64(5), np.int64(6), np.int64(1), np.int64(2), np.int64(2), np."
43,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(2), np.int64(55), np.int64(74), np.int64(433)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
44,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(2), np.int64(61), np.int64(5), np.int64(40)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
45,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
46,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3473), np.int64(486),","np.int64(5032), np.int64(30), np.int64(25), np.int64(6521), np.int64(22), np.int64(891)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3473), np.int64(486), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int"
47,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(7), np.int64(30), np.int64(800), np.int64(22), np.int64(6717), np.int64(6550), np.int64(4), np.int64(538), np.int64(1200), np.int64(1235), np.int64(1939),","np.int64(92), np.int64(791), np.int64(8), np.int64(177), np.int64(348), np.int64(30)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(7), np.int64(30), np.int64(800), np.int64(22), np.int64(6717), np.int64(6550), np.int64(4), np.int64(538), np.int64(1200), np.int64(1235), np.int64(1939), np.int64(4), np.int64(1939), np.int64(2), np.int64(1), np.int64(2), np.int64(2),"
48,"[np.int64(37), np.int64(776), np.int64(46), np.int64(422), np.int64(3223), np.int64(1219), np.int64(931), np.int64(863), np.int64(51), np.int64(59), np.int64(231), np.int64(3236), np.int64(73), np.int64(6), np.int64(92), np.int64(1080), np.int64(6), np.int64(167),","np.int64(108), np.int64(72), np.int64(567), np.int64(135), np.int64(146), np.int64(1850)]",,"[np.int64(37), np.int64(776), np.int64(46), np.int64(422), np.int64(3223), np.int64(1219), np.int64(931), np.int64(863), np.int64(51), np.int64(59), np.int64(231), np.int64(3236), np.int64(73), np.int64(6), np.int64(92), np.int64(1080), np.int64(6), np.int64(167), np.int64(945), np.int64(1), np.int64(1), np.int64(942), np.int64(531), np.int64(1"
49,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(486), np.int64(2662)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
50,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
51,"[np.int64(441), np.int64(5), np.int64(41), np.int64(218), np.int64(30), np.int64(343), np.int64(5), np.int64(70), np.int64(79), np.int64(331), np.int64(51), np.int64(59), np.int64(376), np.int64(8), np.int64(1134), np.int64(30), np.int64(134), np.int64(5),","np.int64(41), np.int64(841), np.int64(885), np.int64(51), np.int64(5), np.int64(343)]",,"[np.int64(441), np.int64(5), np.int64(41), np.int64(218), np.int64(30), np.int64(343), np.int64(5), np.int64(70), np.int64(79), np.int64(331), np.int64(51), np.int64(59), np.int64(376), np.int64(8), np.int64(1134), np.int64(30), np.int64(134), np.int64(5), np.int64(8), np.int64(1), np.int64(17), np.int64(26), np.int64(2), np.int64(3), np"
52,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(30), np.int64(218), np.int64(4), np.int64(30)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
53,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(6577),","np.int64(530), np.int64(51), np.int64(7097), np.int64(8901), np.int64(51), np.int64(189)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(6577), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
54,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(435),","np.int64(71), np.int64(243), np.int64(946), np.int64(550), np.int64(4), np.int64(2565)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(435), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np."
55,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(170), np.int64(79), np.int64(2327),","np.int64(121), np.int64(593), np.int64(58), np.int64(1034), np.int64(2143), np.int64(221)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(170), np.int64(79), np.int64(2327), np.int64(27), np.int64(2327), np.int64(2327), np.int64(2427), np.int64(2327), np.int64("
56,"[np.int64(0), np.int64(2), np.int64(65), np.int64(74), np.int64(1865), np.int64(8), np.int64(127), np.int64(100), np.int64(425), np.int64(138), np.int64(82), np.int64(300), np.int64(1685), np.int64(196), np.int64(100), np.int64(2018), np.int64(835), np.int64(64),","np.int64(3161), np.int64(645), np.int64(2022), np.int64(48), np.int64(59), np.int64(865)]",,"[np.int64(0), np.int64(2), np.int64(65), np.int64(74), np.int64(1865), np.int64(8), np.int64(127), np.int64(100), np.int64(425), np.int64(138), np.int64(82), np.int64(300), np.int64(1685), np.int64(196), np.int64(100), np.int64(2018), np.int64(835), np.int64(64), np.int64(1), np.int64(904), np.int64(906), np.int64(908), np.int64(1802), np.int64(19"
57,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(48), np.int64(3711), np.int64(92), np.int64(5), np.int64(40), np.int64(4501), np.int64(57),","np.int64(7), np.int64(515), np.int64(155), np.int64(285), np.int64(60), np.int64(130)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(48), np.int64(3711), np.int64(92), np.int64(5), np.int64(40), np.int64(4501), np.int64(57), np.int64(56), np.int64(47), np.int64(49), np.int64(1), np.int64(0), np.int64(0),"
58,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(3315), np.int64(59), np.int64(2929), np.int64(8), np.int64(59), np.int64(1367), np.int64(65), np.int64(271), np.int64(270), np.int64(51),","np.int64(610), np.int64(1622), np.int64(10), np.int64(73), np.int64(3259), np.int64(65)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(3315), np.int64(59), np.int64(2929), np.int64(8), np.int64(59), np.int64(1367), np.int64(65), np.int64(271), np.int64(270), np.int64(51), np.int64(5), np.int64(10), np.int64(4), np.int64(1), np.int64(2), np.int64(3), np."
59,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(696), np.int64(101), np.int64(8),","np.int64(177), np.int64(348), np.int64(74), np.int64(407), np.int64(625), np.int64(110)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(696), np.int64(101), np.int64(8), np.int64(7), np.int64(8), np.int64(9), np.int64(9), np.int64(9), np.int64(9),"
60,"[np.int64(285), np.int64(1277), np.int64(56), np.int64(30), np.int64(5), np.int64(34), np.int64(242), np.int64(51), np.int64(86), np.int64(259), np.int64(478), np.int64(440), np.int64(30), np.int64(5), np.int64(70), np.int64(651), np.int64(908), np.int64(74),","np.int64(4874), np.int64(275), np.int64(837), np.int64(4), np.int64(3868), np.int64(8)]",,"[np.int64(285), np.int64(1277), np.int64(56), np.int64(30), np.int64(5), np.int64(34), np.int64(242), np.int64(51), np.int64(86), np.int64(259), np.int64(478), np.int64(440), np.int64(30), np.int64(5), np.int64(70), np.int64(651), np.int64(908), np.int64(74), np.int64(11), np.int64(26), np.int64(6), np.int64(23), np.int64(13), np.int64(27), np.int"
61,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(94), np.int64(71), np.int64(1948), np.int64(91), np.int64(722), np.int64(405), np.int64(384), np.int64(82), np.int64(138),","np.int64(236), np.int64(94), np.int64(42), np.int64(383), np.int64(64), np.int64(1281)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(94), np.int64(71), np.int64(1948), np.int64(91), np.int64(722), np.int64(405), np.int64(384), np.int64(82), np.int64(138), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np"
62,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
63,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(9701), np.int64(65), np.int64(79), np.int64(550),","np.int64(4), np.int64(416), np.int64(22), np.int64(9385), np.int64(214), np.int64(94)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(9701), np.int64(65), np.int64(79), np.int64(550), np.int64(7), np.int64(11), np.int64(10), np.int64(7), np.int64(10), np.int64(2), np"
64,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(201), np.int64(411), np.int64(6), np.int64(61), np.int64(65)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
65,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(2), np.int64(353), np.int64(1179), np.int64(74)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
66,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(181), np.int64(428), np.int64(118), np.int64(72), np.int64(3220), np.int64(64), np.int64(21), np.int64(286), np.int64(118), np.int64(72), np.int64(554), np.int64(1031), np.int64(64),","np.int64(137), np.int64(500), np.int64(21), np.int64(243), np.int64(117), np.int64(92)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(181), np.int64(428), np.int64(118), np.int64(72), np.int64(3220), np.int64(64), np.int64(21), np.int64(286), np.int64(118), np.int64(72), np.int64(554), np.int64(1031), np.int64(64), np.int64(119), np.int64(118), np.int64(119), np.int64(121), np.int64(121), np.int64(124),"
67,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1017), np.int64(51), np.int64(112), np.int64(574),","np.int64(1050), np.int64(91), np.int64(615), np.int64(94), np.int64(130), np.int64(51)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1017), np.int64(51), np.int64(112), np.int64(574), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np"
68,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(473), np.int64(244), np.int64(51), np.int64(483), np.int64(366),","np.int64(591), np.int64(50), np.int64(6208), np.int64(4490), np.int64(6702), np.int64(74)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(473), np.int64(244), np.int64(51), np.int64(483), np.int64(366), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int"
69,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(248), np.int64(8), np.int64(108), np.int64(5), np.int64(40), np.int64(64),","np.int64(3470), np.int64(174), np.int64(8), np.int64(19), np.int64(33), np.int64(30)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(248), np.int64(8), np.int64(108), np.int64(5), np.int64(40), np.int64(64), np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np"
70,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(138)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
71,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30),","np.int64(5), np.int64(34), np.int64(79), np.int64(1375), np.int64(508), np.int64(6)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
72,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(72), np.int64(134), np.int64(112),","np.int64(61), np.int64(4), np.int64(30), np.int64(903), np.int64(48), np.int64(72)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(72), np.int64(134), np.int64(112), np.int64(114), np.int64(0), np.int64(0), np.int64(1), np.int64(2), np.int64(0), np"
73,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1337), np.int64(59), np.int64(336), np.int64(83), np.int64(59), np.int64(1274), np.int64(599),","np.int64(266), np.int64(8), np.int64(73), np.int64(30), np.int64(1258), np.int64(269)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1337), np.int64(59), np.int64(336), np.int64(83), np.int64(59), np.int64(1274), np.int64(599), np.int64(914), np.int64(4), np.int64(1317), np.int64(0), np.int64(1), np.int64(1"
74,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(95), np.int64(655), np.int64(8144), np.int64(6), np.int64(187), np.int64(139), np.int64(22), np.int64(148),","np.int64(88), np.int64(8), np.int64(413), np.int64(173), np.int64(758), np.int64(2562)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(95), np.int64(655), np.int64(8144), np.int64(6), np.int64(187), np.int64(139), np.int64(22), np.int64(148), np.int64(149), np.int64(157), np.int64(150), np.int64(169), np.int64(176), np.int64(190), np"
75,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(2), np.int64(546), np.int64(4516), np.int64(55)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
76,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(591), np.int64(169), np.int64(196), np.int64(30), np.int64(881), np.int64(51), np.int64(72), np.int64(6), np.int64(30), np.int64(1653), np.int64(5), np.int64(41), np.int64(461),","np.int64(992), np.int64(94), np.int64(73), np.int64(411), np.int64(30), np.int64(130)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(591), np.int64(169), np.int64(196), np.int64(30), np.int64(881), np.int64(51), np.int64(72), np.int64(6), np.int64(30), np.int64(1653), np.int64(5), np.int64(41), np.int64(461), np.int64(5), np.int64(7), np.int64(9), np.int64(1), np.int64(2), np.int64(3),"
77,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(410), np.int64(6)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
78,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(259), np.int64(8), np.int64(2998), np.int64(116), np.int64(2581), np.int64(8),","np.int64(4568), np.int64(1089), np.int64(2884), np.int64(6), np.int64(30), np.int64(5)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(259), np.int64(8), np.int64(2998), np.int64(116), np.int64(2581), np.int64(8), np.int64(1778), np.int64(1544), np.int64(5), np.int64(1484), np.int64(5), np.int64(1),"
